name,detector,time,detected_objects
acA1920-155um__22949301__20200710_094124535,Hough,0.12393450736999512,16
acA1920-155um__22949301__20200710_094124535,findContours,0.0598912239074707,18
acA1920-155um__22949301__20200710_094124535,findContours_holes,0.06992983818054199,21
acA1920-155um__22949301__20210628_091847394,Hough,0.12227582931518555,20
acA1920-155um__22949301__20210628_091847394,findContours,0.06188797950744629,18
acA1920-155um__22949301__20210628_091847394,findContours_holes,0.07743334770202637,27
acA1920-155um__22949301__20210628_114754591,Hough,0.12297463417053223,24
acA1920-155um__22949301__20210628_114754591,findContours,0.06302666664123535,22
acA1920-155um__22949301__20210628_114754591,findContours_holes,0.07612466812133789,29
casabee1,Hough,0.12287688255310059,26
casabee1,findContours,0.06424474716186523,26
casabee1,findContours_holes,0.07371902465820312,28
casabee2,Hough,0.11573672294616699,16
casabee2,findContours,0.059072017669677734,12
casabee2,findContours_holes,0.06395864486694336,18
casabee3,Hough,0.10828065872192383,12
casabee3,findContours,0.055552005767822266,13
casabee3,findContours_holes,0.06207752227783203,12
casabee4,Hough,0.10786557197570801,10
casabee4,findContours,0.055474281311035156,13
casabee4,findContours_holes,0.062339067459106445,13
casabee5,Hough,0.10710501670837402,11
casabee5,findContours,0.05492663383483887,12
casabee5,findContours_holes,0.06129193305969238,12
circles,Hough,0.03720974922180176,0
circles,findContours,0.01623821258544922,3
circles,findContours_holes,0.017835378646850586,3
circles_and_squares,Hough,0.035466670989990234,1
circles_and_squares,findContours,0.014256954193115234,2
circles_and_squares,findContours_holes,0.0159151554107666,2
circles_and_squares2,Hough,0.035700082778930664,1
circles_and_squares2,findContours,0.014459371566772461,1
circles_and_squares2,findContours_holes,0.01809835433959961,3
circles_and_squares3,Hough,0.10547089576721191,2
circles_and_squares3,findContours,0.04970979690551758,2
circles_and_squares3,findContours_holes,0.05097484588623047,2
different_shapes1,Hough,0.10881304740905762,3
different_shapes1,findContours,0.05396437644958496,5
different_shapes1,findContours_holes,0.06001114845275879,5
different_shapes2,Hough,0.10374045372009277,3
different_shapes2,findContours,0.05442523956298828,6
different_shapes2,findContours_holes,0.06028032302856445,4
letters1,Hough,0.10849690437316895,2
letters1,findContours,0.054331064224243164,4
letters1,findContours_holes,0.05769920349121094,3
letters2,Hough,0.10528016090393066,2
letters2,findContours,0.05431103706359863,5
letters2,findContours_holes,0.058446645736694336,6
letters3,Hough,0.10396409034729004,2
letters3,findContours,0.05242037773132324,4
letters3,findContours_holes,0.048157691955566406,1
letters4,Hough,0.10720491409301758,1
letters4,findContours,0.05346035957336426,7
letters4,findContours_holes,0.05622363090515137,2
letters5,Hough,0.11910891532897949,9
letters5,findContours,0.0567622184753418,8
letters5,findContours_holes,0.06161665916442871,7
zcar,Hough,0.536109447479248,2
zcar,findContours,0.28542447090148926,3
zcar,findContours_holes,0.2943277359008789,5
