Folder,H0BarNum,H1BarNum,SmallSC0,SmallSC1,SmallSC2,SmallComplexesTime,SmallZigzagTime,CSCT0,CSCT1,CSCT2,CSCTComplexesTime,CSCTZigzagTime,VRS0,VRS1,VRS2,VRComplexesTime
acA1920-155um__22949301__20200710_094124535,18,20,2058,4247,2186,11.48431944847107,113.19841742515564,3015,7130,4112,5.04277229309082,202.39946937561035,2056,5897,4929,20.040382385253906
acA1920-155um__22949301__20210628_091847394,19,28,2875,6037,3150,12.86234426498413,177.40251231193542,4147,9901,5742,4.903361558914185,311.0982024669647,2871,8364,7052,26.4152352809906
acA1920-155um__22949301__20210628_114754591,22,27,2674,5553,2876,12.937041521072388,149.59269046783447,3900,9243,5340,4.9579761028289795,262.8868787288666,2670,7693,6454,24.846064567565918
casabee1,26,31,2578,4960,2380,12.032095909118652,250.63784003257751,3924,9006,5080,4.561416864395142,448.4627459049225,2540,6830,5440,23.2136390209198
casabee2,13,14,1394,2646,1252,10.59560751914978,117.15560793876648,2144,4896,2752,4.500925540924072,161.53131532669067,1376,3659,2891,12.084023475646973
casabee3,13,12,1121,2115,994,10.305248022079468,72.81251454353333,1739,3969,2230,4.349279403686523,110.94054555892944,1115,2962,2338,9.940430164337158
casabee4,13,13,1282,2594,1312,11.127613067626953,42.434112548828125,1894,4430,2536,4.771757364273071,63.41630434989929,1268,3544,2918,10.737302303314209
casabee5,12,12,1015,1919,904,9.639023780822754,22.80193781852722,1573,3593,2020,4.315916299819946,37.801695823669434,1010,2684,2121,8.798760175704956
circles,3,3,472,1028,556,1.9618918895721436,14.877366781234741,666,1610,944,0.6682271957397461,18.775721073150635,472,1359,1165,3.039693593978882
circles_and_squares,2,2,391,935,544,1.5329818725585938,17.983871459960938,510,1292,782,0.5814857482910156,22.58700919151306,391,1244,1125,2.342134714126587
circles_and_squares2,3,3,480,1150,670,1.7758381366729736,25.406731367111206,625,1585,960,0.789801836013794,28.52702236175537,480,1527,1382,2.6469321250915527
circles_and_squares3,2,2,3472,9706,6234,14.026498556137085,372.25930309295654,3827,10771,6944,4.970184087753296,562.5431752204895,3472,12911,12556,42.220954179763794
different_shapes1,5,5,2391,5613,3222,12.641765117645264,189.27622389793396,3171,7953,4782,4.8757545948028564,249.6151900291443,2391,7609,6829,24.762377738952637
different_shapes2,6,4,2575,5875,3302,12.60903000831604,267.49647068977356,3503,8651,5150,4.8170342445373535,351.88466215133667,2575,7977,7055,23.476577520370483
letters1,4,3,3002,7388,4390,13.110781192779541,369.08591175079346,3817,9817,6004,4.720641136169434,555.5103507041931,3002,9823,9020,31.928425788879395
letters2,5,6,4234,11263,7028,15.58420705795288,484.05270433425903,4952,13421,8468,4.973167419433594,770.9902813434601,4234,15114,14393,55.21809124946594
letters3,5,1,2935,7611,4680,13.976003408432007,335.84699058532715,3538,9404,5870,5.068180561065674,600.7039272785187,2935,10136,9545,42.94361710548401
letters4,7,2,2325,5624,3304,16.350565195083618,382.47244119644165,3008,7653,4650,5.3057615756988525,457.4178695678711,2325,7565,6897,28.651926279067993
letters5,8,6,2886,6820,3940,14.516396045684814,699.0482861995697,3814,9580,5772,6.927954912185669,674.8011474609375,2886,9296,8386,28.615482807159424
zcar,3,5,5534,15470,9936,77.54718708992004,4906.471339702606,6100,17168,11068,33.43209981918335,5956.783679008484,5534,20720,20154,222.4320969581604
